,id,cidade,estado,data,precipitacao
252,3520,Porto Alegre,RS,2021-04-15,0.0
253,3530,Porto Alegre,RS,2021-04-16,0.0
254,3540,Porto Alegre,RS,2021-04-17,0.0
255,3550,Porto Alegre,RS,2021-04-18,0.0
256,3560,Porto Alegre,RS,2021-04-19,0.0
257,3570,Porto Alegre,RS,2021-04-20,0.2
258,3580,Porto Alegre,RS,2021-04-21,0.0
259,3590,Porto Alegre,RS,2021-04-22,0.0
260,3600,Porto Alegre,RS,2021-04-23,0.0
261,3610,Porto Alegre,RS,2021-04-24,0.0
262,3620,Porto Alegre,RS,2021-04-25,26.0
263,3630,Porto Alegre,RS,2021-04-26,0.2
264,3640,Porto Alegre,RS,2021-04-27,0.0
265,3650,Porto Alegre,RS,2021-04-28,0.0
266,3660,Porto Alegre,RS,2021-04-29,0.2
267,3670,Porto Alegre,RS,2021-04-30,0.0
268,3680,Porto Alegre,RS,2021-05-01,0.0
269,3690,Porto Alegre,RS,2021-05-02,0.0
270,3700,Porto Alegre,RS,2021-05-03,0.0
271,3710,Porto Alegre,RS,2021-05-04,8.0
272,3720,Porto Alegre,RS,2021-05-05,13.6
273,3730,Porto Alegre,RS,2021-05-06,1.2
274,3740,Porto Alegre,RS,2021-05-07,0.0
275,3750,Porto Alegre,RS,2021-05-08,0.0
276,3760,Porto Alegre,RS,2021-05-09,0.2
277,3770,Porto Alegre,RS,2021-05-10,0.6
278,3780,Porto Alegre,RS,2021-05-11,15.4
279,3790,Porto Alegre,RS,2021-05-12,0.0
280,3800,Porto Alegre,RS,2021-05-13,0.2
281,3810,Porto Alegre,RS,2021-05-14,0.0
282,3820,Porto Alegre,RS,2021-05-15,0.2
283,3830,Porto Alegre,RS,2021-05-16,0.0
284,3840,Porto Alegre,RS,2021-05-17,0.0
285,3850,Porto Alegre,RS,2021-05-18,0.0
286,3860,Porto Alegre,RS,2021-05-19,0.2
287,3870,Porto Alegre,RS,2021-05-20,0.0
288,3880,Porto Alegre,RS,2021-05-21,42.8
289,3890,Porto Alegre,RS,2021-05-22,6.4
290,3900,Porto Alegre,RS,2021-05-23,0.0
291,3910,Porto Alegre,RS,2021-05-24,0.0
292,3920,Porto Alegre,RS,2021-05-25,0.0
293,3930,Porto Alegre,RS,2021-05-26,0.0
294,3940,Porto Alegre,RS,2021-05-27,0.2
295,3950,Porto Alegre,RS,2021-05-28,75.8
296,3960,Curitiba,PR,2021-01-01,13.4
